Data,liczba_wszystkich_zakazen
2023-12-14,2917
2023-12-15,2997
2023-12-16,199
2023-12-17,168
2023-12-18,4160
2023-12-19,3267
2023-12-20,2847
2023-12-21,2747
2023-12-22,2306
2023-12-23,136
2023-12-24,96
2023-12-25,100
2023-12-26,143
2023-12-27,2710
2023-12-28,2026
2023-12-29,2217
2023-12-30,153
2023-12-31,70
2024-01-01,69
2024-01-02,1907
2024-01-03,3067
2024-01-04,2232
2024-01-05,1164
2024-01-06,88
2024-01-07,90
2024-01-08,1434
2024-01-09,922
2024-01-10,856
2024-01-11,836
2024-01-12,800
2024-01-13,62
2024-01-14,69
2024-01-15,1207
2024-01-16,864
2024-01-17,763
2024-01-18,683
2024-01-19,642
2024-01-20,54
2024-01-21,55
2024-01-22,937
2024-01-23,769
2024-01-24,594
2024-01-25,519
2024-01-26,545
2024-01-27,38
2024-01-28,47
2024-01-29,628
2024-01-30,480
2024-01-31,429
2024-02-01,392
2024-02-02,416
2024-02-03,26
2024-02-04,23
2024-02-05,508
2024-02-06,415
2024-02-07,327
2024-02-08,249
2024-02-09,248
2024-02-10,19
2024-02-11,28
2024-02-12,390
2024-02-13,259
2024-02-14,245
2024-02-15,194
2024-02-16,187
2024-02-17,15
2024-02-18,11
2024-02-19,273
2024-02-20,210
2024-02-21,170
2024-02-22,184
2024-02-23,246
2024-02-24,11
2024-02-25,13
2024-02-26,199
2024-02-27,148
2024-02-28,115
2024-02-29,87
2024-03-01,109
2024-03-02,22
2024-03-03,5
2024-03-04,125
2024-03-05,90
2024-03-06,78
2024-03-07,86
2024-03-08,72
2024-03-09,7
2024-03-10,11
2024-03-11,93
2024-03-12,91
2024-03-13,82
2024-03-14,46
2024-03-15,59
2024-03-16,9
2024-03-17,2
2024-03-18,70
2024-03-19,57
2024-03-20,64
2024-03-21,31
2024-03-22,52
2024-03-23,2
2024-03-24,2
2024-03-25,69
2024-03-26,34
2024-03-27,52
2024-03-28,42
2024-03-29,47
2024-03-30,5
2024-03-31,4
2024-04-01,1
2024-04-02,51
2024-04-18,10
2024-04-19,12
2024-04-20,2
2024-04-21,2
2024-04-22,22
2024-04-23,28
2024-04-24,17
2024-04-25,26
2024-04-26,16
2024-04-27,1
2024-04-28,0
2024-04-29,22
2024-04-30,22
2024-05-01,1
2024-05-02,26
2024-05-03,0
2024-05-04,1
2024-05-05,1
2024-05-06,30
2024-05-07,11
2024-05-08,22
2024-05-09,15
2024-05-10,23
2024-05-11,1
2024-05-12,0
2024-05-13,42
2024-05-14,26
2024-05-15,22
2024-05-16,27
2024-05-17,28
2024-05-18,6
2024-05-19,5
